Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalPrice,YearMonth,ist_sonderposten
489439,POST,POSTAGE,3,2009-12-01 09:28:00,18.0,12682,France,54.0,2009-12,True
489444,POST,POSTAGE,1,2009-12-01 09:55:00,141.0,12636,USA,141.0,2009-12,True
489447,POST,POSTAGE,1,2009-12-01 10:10:00,130.0,12362,Belgium,130.0,2009-12,True
489526,POST,POSTAGE,6,2009-12-01 11:50:00,18.0,12533,Germany,108.0,2009-12,True
C489535,D,DISCOUNT,-1,2009-12-01 12:11:00,9.0,15299,United Kingdom,-9.0,2009-12,True
C489535,D,DISCOUNT,-1,2009-12-01 12:11:00,19.0,15299,United Kingdom,-19.0,2009-12,True
C489538,POST,POSTAGE,-1,2009-12-01 12:18:00,9.58,15796,United Kingdom,-9.58,2009-12,True
489557,POST,POSTAGE,4,2009-12-01 12:52:00,18.0,12490,France,72.0,2009-12,True
489597,DCGS0058,MISO PRETTY  GUM,1,2009-12-01 14:28:00,0.83,,United Kingdom,0.83,2009-12,True
489597,DCGS0068,DOGS NIGHT COLLAR,1,2009-12-01 14:28:00,8.65,,United Kingdom,8.65,2009-12,True
489597,DOT,DOTCOM POSTAGE,1,2009-12-01 14:28:00,647.19,,United Kingdom,647.19,2009-12,True
489600,DOT,DOTCOM POSTAGE,1,2009-12-01 14:43:00,55.96,,United Kingdom,55.96,2009-12,True
489601,DOT,DOTCOM POSTAGE,1,2009-12-01 14:44:00,68.39,,United Kingdom,68.39,2009-12,True
489602,DOT,DOTCOM POSTAGE,1,2009-12-01 14:45:00,59.35,,United Kingdom,59.35,2009-12,True
489603,DOT,DOTCOM POSTAGE,1,2009-12-01 14:46:00,42.39,,United Kingdom,42.39,2009-12,True
489604,DOT,DOTCOM POSTAGE,1,2009-12-01 14:47:00,50.87,,United Kingdom,50.87,2009-12,True
489607,DOT,DOTCOM POSTAGE,1,2009-12-01 14:49:00,76.3,,United Kingdom,76.3,2009-12,True
489609,M,MANUAL,1,2009-12-01 14:50:00,4.0,,United Kingdom,4.0,2009-12,True
489609,DOT,DOTCOM POSTAGE,1,2009-12-01 14:50:00,74.61,,United Kingdom,74.61,2009-12,True
489612,DOT,DOTCOM POSTAGE,1,2009-12-01 14:55:00,87.39,,United Kingdom,87.39,2009-12,True
489614,DOT,DOTCOM POSTAGE,1,2009-12-01 14:56:00,80.3,,United Kingdom,80.3,2009-12,True
489615,DOT,DOTCOM POSTAGE,1,2009-12-01 14:56:00,77.13,,United Kingdom,77.13,2009-12,True
489616,DOT,DOTCOM POSTAGE,1,2009-12-01 14:58:00,83.74,,United Kingdom,83.74,2009-12,True
C489651,M,MANUAL,-1,2009-12-01 16:48:00,5.1,17804,United Kingdom,-5.1,2009-12,True
C489685,POST,POSTAGE,-1,2009-12-02 10:28:00,18.0,12523,France,-18.0,2009-12,True
489856,DOT,DOTCOM POSTAGE,1,2009-12-02 14:36:00,470.24,,United Kingdom,470.24,2009-12,True
489857,DOT,DOTCOM POSTAGE,1,2009-12-02 14:43:00,775.24,,United Kingdom,775.24,2009-12,True
C489859,M,MANUAL,-1,2009-12-02 14:45:00,69.57,,United Kingdom,-69.57,2009-12,True
489861,DOT,DOTCOM POSTAGE,1,2009-12-02 14:50:00,0.0,,United Kingdom,0.0,2009-12,True
489883,POST,POSTAGE,3,2009-12-02 16:24:00,18.0,12437,France,54.0,2009-12,True
490074,DCGS0004,HAYNES CAMPER SHOULDER BAG,1,2009-12-03 14:39:00,17.35,,United Kingdom,17.35,2009-12,True
490074,DCGS0058,MISO PRETTY  GUM,1,2009-12-03 14:39:00,0.83,,United Kingdom,0.83,2009-12,True
490074,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,1,2009-12-03 14:39:00,16.48,,United Kingdom,16.48,2009-12,True
490074,DOT,DOTCOM POSTAGE,1,2009-12-03 14:39:00,862.67,,United Kingdom,862.67,2009-12,True
C490117,POST,POSTAGE,-1,2009-12-03 17:38:00,2.99,16570,United Kingdom,-2.99,2009-12,True
C490120,POST,POSTAGE,-2,2009-12-03 17:52:00,18.0,14277,France,-36.0,2009-12,True
C490126,M,MANUAL,-1,2009-12-03 18:12:00,5.95,15884,United Kingdom,-5.95,2009-12,True
490127,C2,CARRIAGE,1,2009-12-03 18:13:00,50.0,14156,EIRE,50.0,2009-12,True
C490129,M,MANUAL,-1,2009-12-03 18:26:00,1998.49,15482,United Kingdom,-1998.49,2009-12,True
490149,DOT,DOTCOM POSTAGE,1,2009-12-04 09:43:00,922.05,,United Kingdom,922.05,2009-12,True
490152,POST,POSTAGE,7,2009-12-04 10:00:00,18.0,12714,France,126.0,2009-12,True
490158,POST,POSTAGE,3,2009-12-04 10:47:00,18.0,12759,Netherlands,54.0,2009-12,True
490295,POST,POSTAGE,4,2009-12-04 13:47:00,28.0,12510,Spain,112.0,2009-12,True
C490296,POST,POSTAGE,-1,2009-12-04 13:51:00,28.0,12510,Spain,-28.0,2009-12,True
490300,M,MANUAL,1,2009-12-04 14:19:00,0.85,12970,United Kingdom,0.85,2009-12,True
490300,M,MANUAL,1,2009-12-04 14:19:00,0.21,12970,United Kingdom,0.21,2009-12,True
C490307,POST,POSTAGE,-1,2009-12-04 14:49:00,8.97,,United Kingdom,-8.97,2009-12,True
490344,POST,POSTAGE,1,2009-12-04 15:53:00,18.0,,United Kingdom,18.0,2009-12,True
490395,POST,POSTAGE,2,2009-12-06 10:16:00,18.0,13813,Germany,36.0,2009-12,True
490397,POST,POSTAGE,2,2009-12-06 10:30:00,15.0,12417,Belgium,30.0,2009-12,True
490458,POST,POSTAGE,4,2009-12-06 11:57:00,18.0,12583,France,72.0,2009-12,True
490541,C2,CARRIAGE,1,2009-12-07 09:25:00,50.0,,EIRE,50.0,2009-12,True
490542,C2,CARRIAGE,1,2009-12-07 09:42:00,50.0,14911,EIRE,50.0,2009-12,True
490564,POST,POSTAGE,7,2009-12-07 10:42:00,18.0,12471,Germany,126.0,2009-12,True
490682,POST,POSTAGE,2,2009-12-07 13:37:00,18.0,12600,Germany,36.0,2009-12,True
490718,POST,POSTAGE,3,2009-12-07 15:42:00,40.0,12443,Norway,120.0,2009-12,True
490727,M,MANUAL,1,2009-12-07 16:38:00,0.0,17231,United Kingdom,0.0,2009-12,True
490733,POST,POSTAGE,3,2009-12-07 16:56:00,28.0,12540,Spain,84.0,2009-12,True
490741,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,1,2009-12-07 17:56:00,16.48,,United Kingdom,16.48,2009-12,True
490741,DOT,DOTCOM POSTAGE,1,2009-12-07 17:56:00,862.38,,United Kingdom,862.38,2009-12,True
490745,DCGS0058,MISO PRETTY  GUM,1,2009-12-07 18:02:00,0.83,,United Kingdom,0.83,2009-12,True
490745,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,1,2009-12-07 18:02:00,16.48,,United Kingdom,16.48,2009-12,True
490745,DOT,DOTCOM POSTAGE,1,2009-12-07 18:02:00,630.36,,United Kingdom,630.36,2009-12,True
C490748,M,MANUAL,-1,2009-12-07 18:14:00,309.73,12748,United Kingdom,-309.73,2009-12,True
490760,M,MANUAL,1,2009-12-08 09:49:00,10.0,14295,United Kingdom,10.0,2009-12,True
C490798,POST,POSTAGE,-2,2009-12-08 11:51:00,18.0,14277,France,-36.0,2009-12,True
490806,POST,POSTAGE,1,2009-12-08 12:13:00,4.0,13485,United Kingdom,4.0,2009-12,True
490881,M,MANUAL,1,2009-12-08 12:58:00,10.0,16210,United Kingdom,10.0,2009-12,True
490936,POST,POSTAGE,2,2009-12-08 13:56:00,28.0,12785,Portugal,56.0,2009-12,True
C490943,BANK CHARGES,BANK CHARGES,-1,2009-12-08 14:08:00,15.0,16703,United Kingdom,-15.0,2009-12,True
490948,BANK CHARGES,BANK CHARGES,1,2009-12-08 14:29:00,15.0,16805,United Kingdom,15.0,2009-12,True
490959,POST,POSTAGE,2,2009-12-08 15:14:00,18.0,12682,France,36.0,2009-12,True
490963,DOT,DOTCOM POSTAGE,1,2009-12-08 15:49:00,560.87,,United Kingdom,560.87,2009-12,True
490964,POST,POSTAGE,1,2009-12-08 16:09:00,15.0,14646,Netherlands,15.0,2009-12,True
490998,C2,CARRIAGE,1,2009-12-08 17:24:00,50.0,16253,United Kingdom,50.0,2009-12,True
490999,M,MANUAL,1,2009-12-08 17:26:00,15.95,13883,United Kingdom,15.95,2009-12,True
490999,M,MANUAL,1,2009-12-08 17:26:00,8.7,13883,United Kingdom,8.7,2009-12,True
491041,DCGS0003,BOXED GLASS ASHTRAY,1,2009-12-09 09:42:00,2.57,,United Kingdom,2.57,2009-12,True
491041,DOT,DOTCOM POSTAGE,1,2009-12-09 09:42:00,483.14,,United Kingdom,483.14,2009-12,True
491043,DCGS0076,SUNJAR LED NIGHT NIGHT LIGHT,1,2009-12-09 09:51:00,16.48,,United Kingdom,16.48,2009-12,True
491043,DOT,DOTCOM POSTAGE,1,2009-12-09 09:51:00,660.21,,United Kingdom,660.21,2009-12,True
491050,POST,POSTAGE,2,2009-12-09 10:46:00,18.0,12712,Germany,36.0,2009-12,True
491094,POST,POSTAGE,1,2009-12-09 13:49:00,216.0,12709,Germany,216.0,2009-12,True
491155,DOT,DOTCOM POSTAGE,1,2009-12-10 09:49:00,810.57,,United Kingdom,810.57,2009-12,True
C491157,M,MANUAL,-1,2009-12-10 10:00:00,40.0,14942,United Kingdom,-40.0,2009-12,True
491160,C2,CARRIAGE,1,2009-12-10 10:29:00,50.0,14911,EIRE,50.0,2009-12,True
