Pair,Count,Support
"('RED HANGING HEART T-LIGHT HOLDER', 'WHITE HANGING HEART T-LIGHT HOLDER')",1240,3.14
"('WOODEN FRAME ANTIQUE WHITE', 'WOODEN PICTURE FRAME WHITE FINISH')",1114,2.82
"('JUMBO BAG RED RETROSPOT', 'JUMBO STORAGE BAG SUKI')",1096,2.77
"('STRAWBERRY CERAMIC TRINKET BOX', 'SWEETHEART CERAMIC TRINKET BOX')",1052,2.66
"('GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER')",1023,2.59
"('JUMBO BAG RED RETROSPOT', 'JUMBO SHOPPER VINTAGE RED PAISLEY')",1008,2.55
"('HEART OF WICKER LARGE', 'HEART OF WICKER SMALL')",1001,2.53
"('JUMBO BAG PINK POLKADOT', 'JUMBO BAG RED RETROSPOT')",966,2.44
"('60 TEATIME FAIRY CAKE CASES', 'PACK OF 60 PINK PAISLEY CAKE CASES')",926,2.34
"('JUMBO BAG RED RETROSPOT', 'JUMBO BAG STRAWBERRY')",925,2.34
